1024	3327	3583	1024	3238	3144
1280	3327	3583	1279	3238	3144
1536	3327	3583	1536	3238	3144
1792	3327	3583	1792	3238	3144
2048	3327	3583	2048	3238	3144
2303	3327	3583	2303	3238	3144
2559	3327	3583	2559	3238	3144
2815	3327	3583	2815	3238	3144
3071	3327	3583	3070	3238	3144
3327	3327	3583	3327	3238	3144
3583	3327	3583	3583	3238	3144
3839	3327	3583	3838	3238	3144
4095	3327	3583	4095	3238	3144
0	3583	3583	0	3486	3144
256	3583	3583	256	3486	3144
512	3583	3583	512	3486	3144
768	3583	3583	768	3486	3144
1024	3583	3583	1024	3486	3144
1280	3583	3583	1279	3486	3144
1536	3583	3583	1536	3486	3144
1792	3583	3583	1792	3486	3144
2048	3583	3583	2048	3486	3144
2303	3583	3583	2303	3486	3144
2559	3583	3583	2559	3486	3144
2815	3583	3583	2815	3486	3144
3071	3583	3583	3070	3486	3144
3327	3583	3583	3327	3486	3144
3583	3583	3583	3583	3486	3144
3839	3583	3583	3838	3486	3144
4095	3583	3583	4095	3486	3144
0	3839	3583	0	3736	3144
256	3839	3583	256	3736	3144
512	3839	3583	512	3736	3144
768	3839	3583	768	3736	3144
1024	3839	3583	1024	3736	3144
1280	3839	3583	1279	3736	3144
1536	3839	3583	1536	3736	3144
1792	3839	3583	1792	3736	3144
2048	3839	3583	2048	3736	3144
2303	3839	3583	2303	3736	3144
2559	3839	3583	2559	3736	3144
2815	3839	3583	2815	3736	3144
3071	3839	3583	3070	3736	3144
3327	3839	3583	3327	3736	3144
3583	3839	3583	3583	3736	3144
3839	3839	3583	3838	3736	3144
4095	3839	3583	4095	3736	3144
0	4095	3583	0	3985	3144
256	4095	3583	256	3985	3144
512	4095	3583	512	3985	3144
768	4095	3583	768	3985	3144
1024	4095	3583	1024	3985	3144
1280	4095	3583	1279	3985	3144
1536	4095	3583	1536	3985	3144
1792	4095	3583	1792	3985	3144
2048	4095	3583	2048	3985	3144
2303	4095	3583	2303	3985	3144
2559	4095	3583	2559	3985	3144
2815	4095	3583	2815	3985	3144
3071	4095	3583	3070	3985	3144
3327	4095	3583	3327	3985	3144
3583	4095	3583	3583	3985	3144
3839	4095	3583	3838	3985	3144
4095	4095	3583	4095	3985	3144
0	0	3839	0	0	3369
256	0	3839	256	0	3369
512	0	3839	512	0	3369
768	0	3839	768	0	3369
1024	0	3839	1024	0	3369
1280	0	3839	1279	0	3369
1536	0	3839	1536	0	3369
1792	0	3839	1792	0	3369
2048	0	3839	2048	0	3369
2303	0	3839	2303	0	3369
2559	0	3839	2559	0	3369
2815	0	3839	2815	0	3369
3071	0	3839	3070	0	3369
3327	0	3839	3327	0	3369
3583	0	3839	3583	0	3369
3839	0	3839	3838	0	3369
4095	0	3839	4095	0	3369
0	256	3839	0	249	3369
256	256	3839	256	249	3369
512	256	3839	512	249	3369
768	256	3839	768	249	3369
1024	256	3839	1024	249	3369
1280	256	3839	1279	249	3369
1536	256	3839	1536	249	3369
1792	256	3839	1792	249	3369
2048	256	3839	2048	249	3369
2303	256	3839	2303	249	3369
2559	256	3839	2559	249	3369
2815	256	3839	2815	249	3369
3071	256	3839	3070	249	3369
3327	256	3839	3327	249	3369
3583	256	3839	3583	249	3369
3839	256	3839	3838	249	3369
4095	256	3839	4095	249	3369
0	512	3839	0	498	3369
256	512	3839	256	498	3369
512	512	3839	512	498	3369
768	512	3839	768	498	3369
1024	512	3839	1024	498	3369
1280	512	3839	1279	498	3369
1536	512	3839	1536	498	3369
1792	512	3839	1792	498	3369
2048	512	3839	2048	498	3369
2303	512	3839	2303	498	3369
2559	512	3839	2559	498	3369
2815	512	3839	2815	498	3369
3071	512	3839	3070	498	3369
3327	512	3839	3327	498	3369
3583	512	3839	3583	498	3369
3839	512	3839	3838	498	3369
4095	512	3839	4095	498	3369
0	768	3839	0	748	3369
256	768	3839	256	748	3369
512	768	3839	512	748	3369
768	768	3839	768	748	3369
1024	768	3839	1024	748	3369
1280	768	3839	1279	748	3369
1536	768	3839	1536	748	3369
1792	768	3839	1792	748	3369
2048	768	3839	2048	748	3369
2303	768	3839	2303	748	3369
2559	768	3839	2559	748	3369
2815	768	3839	2815	748	3369
3071	768	3839	3070	748	3369
3327	768	3839	3327	748	3369
3583	768	3839	3583	748	3369
3839	768	3839	3838	748	3369
4095	768	3839	4095	748	3369
0	1024	3839	0	997	3369
256	1024	3839	256	997	3369
512	1024	3839	512	997	3369
768	1024	3839	768	997	3369
1024	1024	3839	1024	997	3369
1280	1024	3839	1279	997	3369
1536	1024	3839	1536	997	3369
1792	1024	3839	1792	997	3369
2048	1024	3839	2048	997	3369
2303	1024	3839	2303	997	3369
2559	1024	3839	2559	997	3369
2815	1024	3839	2815	997	3369
3071	1024	3839	3070	997	3369
3327	1024	3839	3327	997	3369
3583	1024	3839	3583	997	3369
3839	1024	3839	3838	997	3369
4095	1024	3839	4095	997	3369
0	1280	3839	0	1245	3369
256	1280	3839	256	1245	3369
512	1280	3839	512	1245	3369
768	1280	3839	768	1245	3369
1024	1280	3839	1024	1245	3369
1280	1280	3839	1279	1245	3369
1536	1280	3839	1536	1245	3369
1792	1280	3839	1792	1245	3369
2048	1280	3839	2048	1245	3369
2303	1280	3839	2303	1245	3369
2559	1280	3839	2559	1245	3369
2815	1280	3839	2815	1245	3369
3071	1280	3839	3070	1245	3369
3327	1280	3839	3327	1245	3369
3583	1280	3839	3583	1245	3369
3839	1280	3839	3838	1245	3369
4095	1280	3839	4095	1245	3369
0	1536	3839	0	1494	3369
256	1536	3839	256	1494	3369
512	1536	3839	512	1494	3369
768	1536	3839	768	1494	3369
1024	1536	3839	1024	1494	3369
1280	1536	3839	1279	1494	3369
1536	1536	3839	1536	1494	3369
1792	1536	3839	1792	1494	3369
2048	1536	3839	2048	1494	3369
2303	1536	3839	2303	1494	3369
2559	1536	3839	2559	1494	3369
2815	1536	3839	2815	1494	3369
3071	1536	3839	3070	1494	3369
3327	1536	3839	3327	1494	3369
3583	1536	3839	3583	1494	3369
3839	1536	3839	3838	1494	3369
4095	1536	3839	4095	1494	3369
0	1792	3839	0	1744	3369
256	1792	3839	256	1744	3369
512	1792	3839	512	1744	3369
768	1792	3839	768	1744	3369
1024	1792	3839	1024	1744	3369
1280	1792	3839	1279	1744	3369
1536	1792	3839	1536	1744	3369
1792	1792	3839	1792	1744	3369
2048	1792	3839	2048	1744	3369
2303	1792	3839	2303	1744	3369
2559	1792	3839	2559	1744	3369
2815	1792	3839	2815	1744	3369
3071	1792	3839	3070	1744	3369
3327	1792	3839	3327	1744	3369
3583	1792	3839	3583	1744	3369
3839	1792	3839	3838	1744	3369
4095	1792	3839	4095	1744	3369
0	2048	3839	0	1993	3369
256	2048	3839	256	1993	3369
512	2048	3839	512	1993	3369
768	2048	3839	768	1993	3369
1024	2048	3839	1024	1993	3369
1280	2048	3839	1279	1993	3369
1536	2048	3839	1536	1993	3369
1792	2048	3839	1792	1993	3369
2048	2048	3839	2048	1993	3369
2303	2048	3839	2303	1993	3369
2559	2048	3839	2559	1993	3369
2815	2048	3839	2815	1993	3369
3071	2048	3839	3070	1993	3369
3327	2048	3839	3327	1993	3369
3583	2048	3839	3583	1993	3369
3839	2048	3839	3838	1993	3369
4095	2048	3839	4095	1993	3369
0	2303	3839	0	2241	3369
256	2303	3839	256	2241	3369
512	2303	3839	512	2241	3369
768	2303	3839	768	2241	3369
1024	2303	3839	1024	2241	3369
1280	2303	3839	1279	2241	3369
1536	2303	3839	1536	2241	3369
1792	2303	3839	1792	2241	3369
2048	2303	3839	2048	2241	3369
2303	2303	3839	2303	2241	3369
2559	2303	3839	2559	2241	3369
2815	2303	3839	2815	2241	3369
3071	2303	3839	3070	2241	3369
3327	2303	3839	3327	2241	3369
3583	2303	3839	3583	2241	3369
3839	2303	3839	3838	2241	3369
4095	2303	3839	4095	2241	3369
0	2559	3839	0	2490	3369
256	2559	3839	256	2490	3369
512	2559	3839	512	2490	3369
768	2559	3839	768	2490	3369
1024	2559	3839	1024	2490	3369
1280	2559	3839	1279	2490	3369
1536	2559	3839	1536	2490	3369
1792	2559	3839	1792	2490	3369
2048	2559	3839	2048	2490	3369
2303	2559	3839	2303	2490	3369
2559	2559	3839	2559	2490	3369
2815	2559	3839	2815	2490	3369
3071	2559	3839	3070	2490	3369
3327	2559	3839	3327	2490	3369
3583	2559	3839	3583	2490	3369
3839	2559	3839	3838	2490	3369
4095	2559	3839	4095	2490	3369
0	2815	3839	0	2740	3369
256	2815	3839	256	2740	3369
512	2815	3839	512	2740	3369
768	2815	3839	768	2740	3369
1024	2815	3839	1024	2740	3369
1280	2815	3839	1279	2740	3369
1536	2815	3839	1536	2740	3369
1792	2815	3839	1792	2740	3369
2048	2815	3839	2048	2740	3369
2303	2815	3839	2303	2740	3369
2559	2815	3839	2559	2740	3369
2815	2815	3839	2815	2740	3369
3071	2815	3839	3070	2740	3369
3327	2815	3839	3327	2740	3369
3583	2815	3839	3583	2740	3369
3839	2815	3839	3838	2740	3369
4095	2815	3839	4095	2740	3369
0	3071	3839	0	2989	3369
256	3071	3839	256	2989	3369
512	3071	3839	512	2989	3369
768	3071	3839	768	2989	3369
1024	3071	3839	1024	2989	3369
1280	3071	3839	1279	2989	3369
1536	3071	3839	1536	2989	3369
1792	3071	3839	1792	2989	3369
2048	3071	3839	2048	2989	3369
2303	3071	3839	2303	2989	3369
2559	3071	3839	2559	2989	3369
2815	3071	3839	2815	2989	3369
3071	3071	3839	3070	2989	3369
3327	3071	3839	3327	2989	3369
3583	3071	3839	3583	2989	3369
3839	3071	3839	3838	2989	3369
4095	3071	3839	4095	2989	3369
0	3327	3839	0	3238	3369
256	3327	3839	256	3238	3369
512	3327	3839	512	3238	3369
768	3327	3839	768	3238	3369
1024	3327	3839	1024	3238	3369
1280	3327	3839	1279	3238	3369
1536	3327	3839	1536	3238	3369
1792	3327	3839	1792	3238	3369
2048	3327	3839	2048	3238	3369
2303	3327	3839	2303	3238	3369
2559	3327	3839	2559	3238	3369
2815	3327	3839	2815	3238	3369
3071	3327	3839	3070	3238	3369
3327	3327	3839	3327	3238	3369
3583	3327	3839	3583	3238	3369
3839	3327	3839	3838	3238	3369
4095	3327	3839	4095	3238	3369
0	3583	3839	0	3486	3369
256	3583	3839	256	3486	3369
512	3583	3839	512	3486	3369
768	3583	3839	768	3486	3369
1024	3583	3839	1024	3486	3369
1280	3583	3839	1279	3486	3369
1536	3583	3839	1536	3486	3369
1792	3583	3839	1792	3486	3369
2048	3583	3839	2048	3486	3369
2303	3583	3839	2303	3486	3369
2559	3583	3839	2559	3486	3369
2815	3583	3839	2815	3486	3369
3071	3583	3839	3070	3486	3369
3327	3583	3839	3327	3486	3369
3583	3583	3839	3583	3486	3369
3839	3583	3839	3838	3486	3369
4095	3583	3839	4095	3486	3369
0	3839	3839	0	3736	3369
256	3839	3839	256	3736	3369
512	3839	3839	512	3736	3369
768	3839	3839	768	3736	3369
1024	3839	3839	1024	3736	3369
1280	3839	3839	1279	3736	3369
1536	3839	3839	1536	3736	3369
1792	3839	3839	1792	3736	3369
2048	3839	3839	2048	3736	3369
2303	3839	3839	2303	3736	3369
2559	3839	3839	2559	3736	3369
2815	3839	3839	2815	3736	3369
3071	3839	3839	3070	3736	3369
3327	3839	3839	3327	3736	3369
3583	3839	3839	3583	3736	3369
3839	3839	3839	3838	3736	3369
4095	3839	3839	4095	3736	3369
0	4095	3839	0	3985	3369
256	4095	3839	256	3985	3369
512	4095	3839	512	3985	3369
768	4095	3839	768	3985	3369
1024	4095	3839	1024	3985	3369
1280	4095	3839	1279	3985	3369
1536	4095	3839	1536	3985	3369
1792	4095	3839	1792	3985	3369
2048	4095	3839	2048	3985	3369
2303	4095	3839	2303	3985	3369
2559	4095	3839	2559	3985	3369
2815	4095	3839	2815	3985	3369
3071	4095	3839	3070	3985	3369
3327	4095	3839	3327	3985	3369
3583	4095	3839	3583	3985	3369
3839	4095	3839	3838	3985	3369
4095	4095	3839	4095	3985	3369
0	0	4095	0	0	3593
256	0	4095	256	0	3593
512	0	4095	512	0	3593
768	0	4095	768	0	3593
1024	0	4095	1024	0	3593
1280	0	4095	1279	0	3593
1536	0	4095	1536	0	3593
1792	0	4095	1792	0	3593
2048	0	4095	2048	0	3593
2303	0	4095	2303	0	3593
2559	0	4095	2559	0	3593
2815	0	4095	2815	0	3593
3071	0	4095	3070	0	3593
3327	0	4095	3327	0	3593
3583	0	4095	3583	0	3593
3839	0	4095	3838	0	3593
4095	0	4095	4095	0	3593
0	256	4095	0	249	3593
256	256	4095	256	249	3593
512	256	4095	512	249	3593
768	256	4095	768	249	3593
1024	256	4095	1024	249	3593
1280	256	4095	1279	249	3593
1536	256	4095	1536	249	3593
1792	256	4095	1792	249	3593
2048	256	4095	2048	249	3593
2303	256	4095	2303	249	3593
2559	256	4095	2559	249	3593
2815	256	4095	2815	249	3593
3071	256	4095	3070	249	3593
3327	256	4095	3327	249	3593
3583	256	4095	3583	249	3593
3839	256	4095	3838	249	3593
4095	256	4095	4095	249	3593
0	512	4095	0	498	3593
256	512	4095	256	498	3593
512	512	4095	512	498	3593
768	512	4095	768	498	3593
1024	512	4095	1024	498	3593
1280	512	4095	1279	498	3593
1536	512	4095	1536	498	3593
1792	512	4095	1792	498	3593
2048	512	4095	2048	498	3593
2303	512	4095	2303	498	3593
2559	512	4095	2559	498	3593
2815	512	4095	2815	498	3593
3071	512	4095	3070	498	3593
3327	512	4095	3327	498	3593
3583	512	4095	3583	498	3593
3839	512	4095	3838	498	3593
4095	512	4095	4095	498	3593
0	768	4095	0	748	3593
256	768	4095	256	748	3593
512	768	4095	512	748	3593
768	768	4095	768	748	3593
1024	768	4095	1024	748	3593
1280	768	4095	1279	748	3593
1536	768	4095	1536	748	3593
1792	768	4095	1792	748	3593
2048	768	4095	2048	748	3593
2303	768	4095	2303	748	3593
2559	768	4095	2559	748	3593
2815	768	4095	2815	748	3593
3071	768	4095	3070	748	3593
3327	768	4095	3327	748	3593
3583	768	4095	3583	748	3593
3839	768	4095	3838	748	3593
4095	768	4095	4095	748	3593
0	1024	4095	0	997	3593
256	1024	4095	256	997	3593
512	1024	4095	512	997	3593
768	1024	4095	768	997	3593
1024	1024	4095	1024	997	3593
1280	1024	4095	1279	997	3593
1536	1024	4095	1536	997	3593
1792	1024	4095	1792	997	3593
2048	1024	4095	2048	997	3593
2303	1024	4095	2303	997	3593
2559	1024	4095	2559	997	3593
2815	1024	4095	2815	997	3593
3071	1024	4095	3070	997	3593
3327	1024	4095	3327	997	3593
3583	1024	4095	3583	997	3593
3839	1024	4095	3838	997	3593
4095	1024	4095	4095	997	3593
0	1280	4095	0	1245	3593
256	1280	4095	256	1245	3593
512	1280	4095	512	1245	3593
768	1280	4095	768	1245	3593
1024	1280	4095	1024	1245	3593
1280	1280	4095	1279	1245	3593
1536	1280	4095	1536	1245	3593
1792	1280	4095	1792	1245	3593
2048	1280	4095	2048	1245	3593
2303	1280	4095	2303	1245	3593
2559	1280	4095	2559	1245	3593
2815	1280	4095	2815	1245	3593
3071	1280	4095	3070	1245	3593
3327	1280	4095	3327	1245	3593
3583	1280	4095	3583	1245	3593
3839	1280	4095	3838	1245	3593
4095	1280	4095	4095	1245	3593
0	1536	4095	0	1494	3593
256	1536	4095	256	1494	3593
512	1536	4095	512	1494	3593
768	1536	4095	768	1494	3593
1024	1536	4095	1024	1494	3593
1280	1536	4095	1279	1494	3593
1536	1536	4095	1536	1494	3593
1792	1536	4095	1792	1494	3593
2048	1536	4095	2048	1494	3593
2303	1536	4095	2303	1494	3593
2559	1536	4095	2559	1494	3593
2815	1536	4095	2815	1494	3593
3071	1536	4095	3070	1494	3593
3327	1536	4095	3327	1494	3593
3583	1536	4095	3583	1494	3593
3839	1536	4095	3838	1494	3593
4095	1536	4095	4095	1494	3593
0	1792	4095	0	1744	3593
256	1792	4095	256	1744	3593
512	1792	4095	512	1744	3593
768	1792	4095	768	1744	3593
1024	1792	4095	1024	1744	3593
1280	1792	4095	1279	1744	3593
1536	1792	4095	1536	1744	3593
1792	1792	4095	1792	1744	3593
2048	1792	4095	2048	1744	3593
2303	1792	4095	2303	1744	3593
2559	1792	4095	2559	1744	3593
2815	1792	4095	2815	1744	3593
3071	1792	4095	3070	1744	3593
3327	1792	4095	3327	1744	3593
3583	1792	4095	3583	1744	3593
3839	1792	4095	3838	1744	3593
4095	1792	4095	4095	1744	3593
0	2048	4095	0	1993	3593
256	2048	4095	256	1993	3593
512	2048	4095	512	1993	3593
768	2048	4095	768	1993	3593
1024	2048	4095	1024	1993	3593
1280	2048	4095	1279	1993	3593
1536	2048	4095	1536	1993	3593
1792	2048	4095	1792	1993	3593
2048	2048	4095	2048	1993	3593
2303	2048	4095	2303	1993	3593
2559	2048	4095	2559	1993	3593
2815	2048	4095	2815	1993	3593
3071	2048	4095	3070	1993	3593
3327	2048	4095	3327	1993	3593
3583	2048	4095	3583	1993	3593
3839	2048	4095	3838	1993	3593
4095	2048	4095	4095	1993	3593
0	2303	4095	0	2241	3593
256	2303	4095	256	2241	3593
512	2303	4095	512	2241	3593
768	2303	4095	768	2241	3593
1024	2303	4095	1024	2241	3593
1280	2303	4095	1279	2241	3593
1536	2303	4095	1536	2241	3593
1792	2303	4095	1792	2241	3593
2048	2303	4095	2048	2241	3593
2303	2303	4095	2303	2241	3593
2559	2303	4095	2559	2241	3593
2815	2303	4095	2815	2241	3593
3071	2303	4095	3070	2241	3593
3327	2303	4095	3327	2241	3593
3583	2303	4095	3583	2241	3593
3839	2303	4095	3838	2241	3593
4095	2303	4095	4095	2241	3593
0	2559	4095	0	2490	3593
256	2559	4095	256	2490	3593
512	2559	4095	512	2490	3593
768	2559	4095	768	2490	3593
1024	2559	4095	1024	2490	3593
1280	2559	4095	1279	2490	3593
1536	2559	4095	1536	2490	3593
1792	2559	4095	1792	2490	3593
2048	2559	4095	2048	2490	3593
2303	2559	4095	2303	2490	3593
2559	2559	4095	2559	2490	3593
2815	2559	4095	2815	2490	3593
3071	2559	4095	3070	2490	3593
3327	2559	4095	3327	2490	3593
3583	2559	4095	3583	2490	3593
3839	2559	4095	3838	2490	3593
4095	2559	4095	4095	2490	3593
0	2815	4095	0	2740	3593
256	2815	4095	256	2740	3593
512	2815	4095	512	2740	3593
768	2815	4095	768	2740	3593
1024	2815	4095	1024	2740	3593
1280	2815	4095	1279	2740	3593
1536	2815	4095	1536	2740	3593
1792	2815	4095	1792	2740	3593
2048	2815	4095	2048	2740	3593
2303	2815	4095	2303	2740	3593
2559	2815	4095	2559	2740	3593
2815	2815	4095	2815	2740	3593
3071	2815	4095	3070	2740	3593
3327	2815	4095	3327	2740	3593
3583	2815	4095	3583	2740	3593
3839	2815	4095	3838	2740	3593
4095	2815	4095	4095	2740	3593
0	3071	4095	0	2989	3593
256	3071	4095	256	2989	3593
512	3071	4095	512	2989	3593
768	3071	4095	768	2989	3593
1024	3071	4095	1024	2989	3593
1280	3071	4095	1279	2989	3593
1536	3071	4095	1536	2989	3593
1792	3071	4095	1792	2989	3593
2048	3071	4095	2048	2989	3593
2303	3071	4095	2303	2989	3593
2559	3071	4095	2559	2989	3593
2815	3071	4095	2815	2989	3593
3071	3071	4095	3070	2989	3593
3327	3071	4095	3327	2989	3593
3583	3071	4095	3583	2989	3593
3839	3071	4095	3838	2989	3593
4095	3071	4095	4095	2989	3593
0	3327	4095	0	3238	3593
256	3327	4095	256	3238	3593
512	3327	4095	512	3238	3593
768	3327	4095	768	3238	3593
1024	3327	4095	1024	3238	3593
1280	3327	4095	1279	3238	3593
1536	3327	4095	1536	3238	3593
1792	3327	4095	1792	3238	3593
2048	3327	4095	2048	3238	3593
2303	3327	4095	2303	3238	3593
2559	3327	4095	2559	3238	3593
2815	3327	4095	2815	3238	3593
3071	3327	4095	3070	3238	3593
3327	3327	4095	3327	3238	3593
3583	3327	4095	3583	3238	3593
3839	3327	4095	3838	3238	3593
4095	3327	4095	4095	3238	3593
0	3583	4095	0	3486	3593
256	3583	4095	256	3486	3593
512	3583	4095	512	3486	3593
768	3583	4095	768	3486	3593
1024	3583	4095	1024	3486	3593
1280	3583	4095	1279	3486	3593
1536	3583	4095	1536	3486	3593
1792	3583	4095	1792	3486	3593
2048	3583	4095	2048	3486	3593
2303	3583	4095	2303	3486	3593
2559	3583	4095	2559	3486	3593
2815	3583	4095	2815	3486	3593
3071	3583	4095	3070	3486	3593
3327	3583	4095	3327	3486	3593
3583	3583	4095	3583	3486	3593
3839	3583	4095	3838	3486	3593
4095	3583	4095	4095	3486	3593
0	3839	4095	0	3736	3593
256	3839	4095	256	3736	3593
512	3839	4095	512	3736	3593
768	3839	4095	768	3736	3593
1024	3839	4095	1024	3736	3593
1280	3839	4095	1279	3736	3593
1536	3839	4095	1536	3736	3593
1792	3839	4095	1792	3736	3593
2048	3839	4095	2048	3736	3593
2303	3839	4095	2303	3736	3593
2559	3839	4095	2559	3736	3593
2815	3839	4095	2815	3736	3593
3071	3839	4095	3070	3736	3593
3327	3839	4095	3327	3736	3593
3583	3839	4095	3583	3736	3593
3839	3839	4095	3838	3736	3593
4095	3839	4095	4095	3736	3593
0	4095	4095	0	3985	3593
256	4095	4095	256	3985	3593
512	4095	4095	512	3985	3593
768	4095	4095	768	3985	3593
1024	4095	4095	1024	3985	3593
1280	4095	4095	1279	3985	3593
1536	4095	4095	1536	3985	3593
1792	4095	4095	1792	3985	3593
2048	4095	4095	2048	3985	3593
2303	4095	4095	2303	3985	3593
2559	4095	4095	2559	3985	3593
2815	4095	4095	2815	3985	3593
3071	4095	4095	3070	3985	3593
3327	4095	4095	3327	3985	3593
3583	4095	4095	3583	3985	3593
3839	4095	4095	3838	3985	3593
4095	4095	4095	4095	3985	3593
